Datum ID,Indexed Field,NomicAtlasTopicDepth1,NomicAtlasTopicDepth2,NomicClaudeTopicDepth1,NomicClaudeTopicDepth2
4276,"Develop challenge problems for decision making in flight, air traffic control, and perception and decision making for manufacturing operations. These challenge problems would allow AI systems to compete against each other in real-world settings without supervision from developers.
",Government operations,Health,Infrastructure,Scientific Apps
4277,"Fund interdisciplinary research initiatives to develop innovative AI techniques for forensic analysis while maintaining transparency, reducing algorithmic bias, and addressing ethical concerns. Partnerships between academia, law enforcement, and independent researchers should be encouraged.
",Science Partnerships,Science,Research Funding,Science Grants
4278,"Create pilot programs that bring government agencies and industry AI partners together to test and refine AI models on real-world problems, with an emphasis on structured feedback loops to inform future policymaking and shared best practices.
",Science Partnerships,Strategic Partnerships,Research Funding,Public-Private
4279,"Advance AI innovation for rapid response in potential pandemics or biosecurity events and reinforce public-private partnerships to ensure the best emerging solutions can scale in critical situations.
",Government operations,Health,Infrastructure,Scientific Apps
4280,"Identify and fund high-impact AI implementations across government, including:
• Deploying AI-powered fraud detection systems across benefit-administering agencies with potential savings of $50 billion annually.
• Implementing AI-based document processing systems for immigration applications, tax processing, and regulatory filings.
• Developing predictive maintenance systems for federal infrastructure, military equipment, and transportation assets.
• Creating AI-powered emergency response coordination systems for disaster response agencies.
",Government operations,Government,Infrastructure,Gov Services
4281,"Reform procurement rules to let federal health agencies quickly adopt private-sector AI tools. Develop transparent scoring methods to measure efficacy, cost-savings, and compliance without locking out smaller innovators.
",Government operations,Procurement,Infrastructure,Federal Contracts
4282,"Increase support for AI startups and small businesses through funding and incentives. Actions include:
• Increasing funding through SBIR and STTR programs.
• Creating AI-specific tax incentives for entrepreneurship.
• Establishing regulatory sandboxes for responsible AI experimentation.
",Science Partnerships,Business Incentives,Research Funding,Business Incentives
4283,"Support targeted workshops, fellowships, and collaborative funding mechanisms centered around grand challenges in areas such as materials in extreme environments or advanced manufacturing. Include development and use of challenge/benchmark datasets for standardized evaluation of new AI methods.
",Science Partnerships,Science,Research Funding,Science Grants
4284,"Promote open source AI development for accessibility to ensure people with disabilities can participate in creating technologies that meet their needs. This includes:
• Supporting development of Accessibility Apps that leverage AI capabilities.
• Enabling Open Source Model Development and Validation to address accessibility concerns in algorithms.
• Incorporating accessibility in data sets used to train models through Data Augmentation.
• Ensuring AI user interfaces are accessible to disabled users.
• Creating dedicated AI functionality and libraries for integration into assistive technologies.
",Content Creation,Software Development,Content & Models,Open Source
4285,"Establish an efficient framework to prioritize the authorization of commercial cloud-based AI systems for use by government agencies, likely as part of FedRAMP. This would streamline acquisition processes for AI technologies, making it easier for agencies to access and implement cutting-edge AI tools.
",Government operations,Government,Infrastructure,Gov Services
4286,"Create a centralized, publicly accessible AI Best Practices Repository where agencies can share information on successful AI implementations. This repository should include:
• Case studies detailing approaches taken and beneficial outcomes achieved.
• Procurement and implementation guides.
• Risk management frameworks and strategies.
",Content Creation,Performance Assurance,Content & Models,Model Evaluation
4287,"Support robust reviews of large databases behind deep learning models. Develop national validated datasets free from inadequate data points to provide developers with standardized foundations for training deep learning algorithms, reducing time and expense spent on data cleaning and validation.
",Science Partnerships,Machine Learning,Research Funding,Model Validation
4288,"OSTP should create a repository of high-leverage research opportunities and investments that leverage AI to advance science, with input from non-governmental organizations. This catalog would serve as a roadmap to facilitate coordinated action from industry, nonprofits, and academia to build on the success of existing projects and augment public sector efforts.
",Science Partnerships,Science Policy,Research Funding,OSTP Roadmap
4289,"Create programs to retrain adults in computing and AI skills to put the underemployed back to work, addressing the estimated 40% of the global workforce that will require reskilling due to AI's impact over the next three years.
",Workforce Development,Workforce Automation,Workforce Dev,Labor Transition
4290,"The US government, its contractors, and government-funded researchers should collaborate with, participate in, and contribute directly to open source software (OSS) for AI development.
",Content Creation,Software Development,Content & Models,Open Source
4291,"Leverage AI to enhance the entire acquisition and procurement process by:
• Implementing AI for proposal writing, cost estimating, scheduling, compliance, and artifact generation,
• Sharing agency standards and example models with defense contractors,
• Providing training to ensure users understand AI capabilities and remain responsible for accuracy,
• Disclosing when AI is used in source selection or proposal processes,
• Improving data infrastructure for more accurate models,
• Using AI to identify compliance hotspots and support decision-making,
• Leveraging cloud-based solutions at all classification levels, and
• Streamlining FedRAMP authorization with AI-powered tools for continuous monitoring.
",Government operations,Procurement,Infrastructure,Federal Contracts
4292,"Prepare the American workforce for AI by:
• Enhancing STEM education with AI concepts from an early age through curriculum changes and teacher training,
• Building AI literacy and skills across the workforce and general population to enable effective interaction with AI technologies,
• Developing targeted training programs through public-private partnerships to address emerging AI skill requirements,
• Implementing retraining and upskilling initiatives to help workers transition to AI-related roles, with a focus on accessibility for rural and low-income workers.
",Workforce Development,Workforce Development (2),Workforce Dev,Career Programs
4293,"The government should use its purchasing power to guide AI development and drive public sector adoption by:
• Better communicating its needs to the market,
• Reforming procurement practices, and
• Making government data assets available affordably.
",Government operations,Government,Infrastructure,Gov Services
4294,"The administration should work with Congress to ensure that legislative proposals do not hinder open-source AI. The approach should be use-case oriented and harm-focused with ex post enforcement that is agnostic about whether tools are open source or not.
",Content Creation,Software Development,Content & Models,Open Source
4295,"The government should fully support the open source AI ecosystem. Any AI regulation should be very carefully tailored to not impede open model development, and any regulation applicable to developers of open source AI models should be limited to obligations applicable no later than date of release.
",Content Creation,Software Development,Content & Models,Open Source
4296,"Federal, state, and local governments should prioritize AI adoption through:
• OMB issuing refreshed guidance leveraging NIST AI Risk Management Framework.
• Streamlining reporting and impact assessment requirements.
• Maintaining agency Chief AI Officers and cross-agency coordination.
• Prioritizing state-of-the-art commercial solutions.
• Maintaining a central AI use case library.
• Creating a central consultation point for agencies to identify opportunities and paths for AI integration.
",Government operations,Government,Infrastructure,Gov Services
4297,"Significantly expand the National AI Research Resource (NAIRR) program being piloted by NSF and maintain robust federally funded computing infrastructure at national labs and through equipment grants to academia.
",Science Partnerships,Computational Resources,Research Funding,Computing Access
4298,"• Implement policies that ensure robust AI design, preventing harmful behaviors and ensuring systems act as intended.
• Promote human-AI collaboration policies that ensure AI augments human decision-making rather than replaces it.
",Risk Management,Rural development,Regulation,Policy Awareness
4299,"• Strengthen federal funding and programs that support AI R&D in critical industries such as defense, energy, and healthcare.
• Create a system of fast-track approval pathways for AI in healthcare, national security, autonomous systems, and other domains with significant automation advantages.
• Ease the FedRAMP process for AI solutions to account for their dynamic and rapidly evolving nature.
",Government operations,Economic Development,Infrastructure,Innovation Hubs
4300,"Develop AI infrastructure in rural states to leverage their energy resources and geographic advantages.
• Promote AI-driven energy efficiency in rural data centers and infrastructure.
• Build national AI data centers in low-energy-cost regions like Wyoming.
• Expand broadband and digital infrastructure in rural areas.
• Deploy a large-scale AI resource to support research in rural states, building on existing investments like the NCAR-Wyoming Supercomputing Center.
• Support AI research in resource industries such as agriculture, ranching, and mining.
",Energy Infrastructure,Energy Solutions,Energy Systems,Energy Solutions
4301,"Support the reinstatement of tax provisions that allow full expensing of capital investments in the year of expenditure rather than amortizing costs over decades, and restore the research and development (R&D) tax credit to encourage domestic investment in AI development.
",Science Partnerships,Business Incentives,Research Funding,Business Incentives
4302,"NSF/OSTP should prioritize funding to enhance AI education, ethics, and workforce development. This includes:
• Supporting interdisciplinary research on AI teaching and applications,
• Assessing AI's impact on institutions and communities,
• Scaling faculty/staff upskilling initiatives,
• Integrating AI literacy and ethics into curricula,
• Developing workforce-aligned training programs,
• Building ethical AI cultures within institutions,
• Creating sustainable, equitable AI education models,
• Creating opportunities for faculty-industry connections.
",Science Partnerships,Science Policy,Research Funding,OSTP Roadmap
4303,"Adapt current procurement approaches to foster innovation and leverage emerging commercial technologies:
• Reduce barriers to entry for non-traditional companies with limited government contracting experience,
• Procure holistic AI solutions that include core technologies, adaptation, technical integration, and professional services,
• Utilize flexible outcome-based approaches that allow experimentation with different methods,
• Consider time-cost tradeoffs that account for productivity improvements,
• Prioritize AI in authorization reviews and streamline security approvals, and
• Procure solutions from a variety of providers to ensure competition.
",Government operations,Procurement,Infrastructure,Federal Contracts
4304,"Incorporate AI education and literacy into school curricula to prepare students for the AI-driven workforce. This includes:
• Teaching students to be competent AI users who can critically evaluate AI applications.
• Developing computational thinking and coding skills from early education through secondary education.
• Supporting teachers through professional development programs focused on AI literacy and pedagogy.
",Workforce Development,Education,Workforce Dev,K-12 Education
4305,"Create a dedicated federal research hub to analyze AI's workforce impact and identify best practices for integrating AI into education, workplaces, and job training. The Center would:
• Convene interdisciplinary experts to improve labor market insights and AI policy responses,
• Conduct, coordinate, and amplify research on the unique value of human skills and capabilities as distinct from machines,
• Share best practices and technical assistance with businesses and workforce leaders to help fuel human-driven growth.
",Workforce Development,Workforce Automation,Workforce Dev,Labor Transition
4306,"Government should initially focus on AI use cases that best suit the technology's strengths and carry minimal risk, before developing additional guardrails for more challenging applications. Examples include using AI for procurement, traffic control cameras, and transcription of public government meetings.
",Government operations,Government,Infrastructure,Gov Services
4307,"Develop ongoing training programs that leverage private sector expertise to ensure AI training materials remain current, adaptive, and mission-focused, rather than becoming obsolete government curricula.
",Workforce Development,Government Hiring,Workforce Dev,Gov Expertise
4308,"Foster partnerships between organizations to share supercomputing resources and expertise, maximizing the utility and impact of AI infrastructure investments.
",Science Partnerships,Strategic Partnerships,Research Funding,Public-Private
4309,"Agencies should evaluate existing challenges and inefficiencies where AI could improve workflows, such as streamlining paperwork, automating administrative tasks, and improving response times.
",Content Creation,Performance Assurance,Content & Models,Model Evaluation
4310,"Update federal hiring policies to fully integrate AI into HR processes, focusing on five key areas:
• Amend public notice rules to allow AI-driven pre-screening during public notice periods.
• Modernize classification systems with AI-driven competency assessments.
• Automate veterans' preference adjudication with AI-based verification tools.
• Streamline security clearance processes with AI-powered federal security databases.
• Develop AI-driven conversion systems for standardized salary translation.
",Workforce Development,Government Hiring,Workforce Dev,Gov Expertise
4311,"Support AI-driven innovation across key industries (healthcare, manufacturing, energy, finance) by incentivizing AI adoption in small businesses and expanding AI-driven workforce training programs to enhance productivity and job creation.
",Workforce Development,Workforce Automation,Workforce Dev,Labor Transition
4312,"Eliminate regulatory obstacles and establish streamlined policy frameworks that facilitate collaboration between academic research computing and data organizations and private industry. Key actions include:
• Creating streamlined agreements for public-private partnerships in AI infrastructure development.
• Establishing tax incentives for industry donations of computing hardware, software, and expertise to academic institutions.
• Developing fellowship programs enabling professionals to move between industry and academic research computing and data roles.
• Creating regulatory frameworks that facilitate responsible data sharing between sectors.
",Science Partnerships,Strategic Partnerships,Research Funding,Public-Private
4313,"Leverage AI technologies to expedite and streamline the immigration process, with particular focus on supporting tourism, service, hospitality, and live event industries that rely on international talent and visitors.
",Workforce Development,Immigration,Workforce Dev,Talent Immigration
4314,"The administration and Congress should enable scientists access to the resources they need to develop transformational AI solutions by advancing the NAIRR Task Force recommendations on project support. This is particularly important as the credits donated by technology developers for NAIRR will conclude at the end of the two-year pilot.
",Science Partnerships,Artificial Intelligence,Research Funding,NAIRR Legislation
4315,"Establish an OSTP/NITRD funding program focusing on several key research areas:
• Adversarial machine learning, including novel attack vectors and defense mechanisms.
• Formal verification methods for AI systems.
• Differential privacy techniques for AI models.
• Encryption and privacy-enhancing technologies including computational efficiency improvements and secure multi-party computation.
",Science Partnerships,Science Policy,Research Funding,OSTP Roadmap
4316,"Develop comprehensive upskilling programs for the current generation of workers to keep pace with AI integration over the next decade, preventing marginalization and social dislocations for those unable to adapt.
",Workforce Development,Workforce Automation,Workforce Dev,Labor Transition
4317,"Make strategic federal funding investments in research on AI algorithms and systems, as well as the full range of applications of AI to science, technology, and industry. The recommendation focuses on enabling institutions like SDSC to maximize their continued impact for the nation.
",Science Partnerships,Science,Research Funding,Science Grants
4318,"Promote a decentralized, open source-led approach to AI development. This recommendation emphasizes making AI accessible to a wide range of developers, encouraging broader participation in AI research, enabling auditing and peer review, and allowing experimentation and innovation with model weights.
",Content Creation,Software Development,Content & Models,Open Source
4319,"Create robust public-private partnerships with businesses and educational institutions to develop practical AI skills training programs that address workforce needs. This approach should:
• Invest in fundamental AI literacy programs to help workers adapt to AI-enhanced workplaces,
• Implement personalized learning approaches for industry-specific AI skills development,
• Encourage cross-sector collaboration among businesses, educational institutions, and professional organizations,
• Strengthen the education-to-employment pipeline and skills-based hiring practices.
",Workforce Development,Workforce Development (2),Workforce Dev,Career Programs
4320,"Create conditions that allow companies of all sizes to participate in AI innovation.
• Promote decentralized AI systems, including shared networks and open research collaborations.
• Support policies that enable smaller companies and independent developers to compete without dependency on Big Tech.
",Science Partnerships,Strategic Partnerships,Research Funding,Public-Private
4321,"Direct federal data collection agencies to gather information on AI's role in the economy, including human task content, work process reorganization, human-AI collaboration metrics, skill demand dynamics, and augmentation versus substitution effects.
",Healthcare Privacy,Data Governance,Data Privacy,Gov Datasets
4322,"• Support organization of regular conferences, workshops, and meetups to foster community and partnerships.
• Create platforms for collaboration between academia, industry, and government.
• Create platforms for knowledge sharing and innovation exchange.
",Semiconductor manufacturing,Innovation,Manufacturing,Research Hubs
4323,"Convert the 27 existing National AI Research Institutes into permanent regional hubs of innovation, building on their 5-year foundational work. These institutes should continue to emphasize research innovation coupled with translational research to practice and economic growth, with leadership from public-funded land-grant universities due to their connections to regional communities.
",Science Partnerships,Science,Research Funding,Science Grants
4324,"The U.S. government should actively foster collaborative partnerships with academia, industry, and civil society to accelerate technological breakthroughs. This includes establishing innovation hubs and consortiums that bring together research universities, industry pioneers, and non-profit organizations.
",Semiconductor manufacturing,Innovation,Manufacturing,Research Hubs
4325,"Establish baseline security requirements for AI foundation models, prioritize confidentiality and data privacy, and incorporate robust algorithmic governance and accountability mechanisms. Government procurement should prioritize AI solutions with effective risk mitigation strategies to foster public trust.
",Government operations,Procurement,Infrastructure,Federal Contracts
4326,"• Establish AI knowledge-sharing partnerships with governments, universities, and tech hubs across Africa, Latin America, and Asia.
• Incentivize U.S. AI firms to provide AI training, internships, and AI-based entrepreneurship support to emerging markets, ensuring democratic AI adoption.
",Science Partnerships,Strategic Partnerships,Research Funding,Public-Private
4327,"Implement a coordinated national strategy for AI education and workforce development through:
• Creating a national K-12 AI curriculum
• Supporting teacher professional development in AI
• Developing AI-powered teaching assistant tools
• Supporting university and K-12 partnerships to test AI interventions
• Continuing graduate education programs
• Investing in upskilling initiatives for current workers
",Workforce Development,Workforce Development (2),Workforce Dev,Career Programs
4328,"Invest in public AI infrastructure and models designed to serve public needs rather than corporate interests. Ensure broad access to computing resources for researchers, communities, and labor organizations interested in developing AI for social good.
",Government operations,Economic Development,Infrastructure,Innovation Hubs
4329,"Support AI workforce development through educational and training programs. Key recommendations include:
• Funding NSF programs like Research Traineeships, Graduate Research Fellowships, Research Experiences for Undergraduates, and CAREER awards,
• Supporting DOE's Computational Science Graduate Fellowship program,
• Creating partnerships and internships at National Laboratories,
• Integrating data science and modeling into undergraduate STEM coursework, and
• Developing AI technology for workforce upskilling and retraining.
",Workforce Development,Workforce Development (2),Workforce Dev,Career Programs
4330,"Support interdisciplinary research initiatives that explore the intersection of AI with other fields. This includes:
• Encouraging collaborative research projects that bring together experts from diverse disciplines to tackle complex problems.
• Establishing research centers focused on integrating AI with other scientific and technological domains.
",Science Partnerships,Science,Research Funding,Science Grants
4331,"Dr. Brian Prasad, Editor-in-Chief of the International Journal of Artificial Intelligence and Knowledge Engineering (IJAIKE), proposes a partnership with the OSTP's AI Action Plan initiative. The proposal suggests collaboration between the journal and the government to share research and innovations in AI and Knowledge Engineering.
",Science Partnerships,Science Policy,Research Funding,OSTP Roadmap
4332,"Develop strong AI workforce retention programs through public universities and University-Affiliated Research Centers. These programs should include competitive grants, fellowships, and clearly defined career paths for top experts. Additionally:
• The State Department should simplify visa and immigration processes to help recruit leading AI professionals from allied nations,
• Intelligence Community agencies like NSA and FBI should enhance personnel evaluations and insider-threat detection to prevent adversarial impact.
",Workforce Development,Immigration,Workforce Dev,Talent Immigration
4333,"Foster a strong benchmarking ecosystem through government support for independent AI benchmarking organizations. This includes:
• Facilitating collaborations to develop AI benchmarks aligned with government objectives, drawing on proven public-private models.
• Launching joint working groups focused on specific domains like cybersecurity, scientific reasoning, and CBRN risks.
",Science Partnerships,Strategic Partnerships,Research Funding,Public-Private
4334,"Where appropriate, public-private partnerships should be established to accelerate AI innovation and implementation. Critical success factors for these partnerships include:
• having a clear mission addressing a well-defined problem,
• motivated partners,
• a governance framework,
• mechanisms to engage other organizations (including standards developers), and
• committed resources.
",Science Partnerships,Strategic Partnerships,Research Funding,Public-Private
4335,"Reform immigration policies to attract and retain AI talent through:
• Creating a subcategory for H-1Bs for AI workers with a higher annual cap and extended duration,
• Clarifying the O-1 visa's dual-intent classification,
• Recapturing unused green cards for AI workers,
• Allocating unused DoD H-1B2 visas to AI projects,
• Updating the Schedule A shortage occupation list to include AI positions, and
• Expanding permanent labor certification via special handling to employers seeking AI talent.
",Workforce Development,Immigration,Workforce Dev,Talent Immigration
4336,"Apply mission engineering as a structured approach to bridge the gap between mission demands and technological capabilities. This process involves analyzing agency-specific requirements in areas like national security, public health, or infrastructure resilience, and translating them into actionable technology development priorities that address operational mission needs. This approach should be implemented within Federal Frontier Labs and public-private partnerships.
",Semiconductor manufacturing,Autonomous Vehicles,Manufacturing,Autonomous Safety
4337,"More flexibility in procurement vehicles is needed to improve the use of AI in the public sector. This will enhance government utilization of AI, which can improve access to important services for taxpayers, save time and money, and bring additional data into important decisions.
",Government operations,Procurement,Infrastructure,Federal Contracts
4338,"• Enhance access to and support for STEM education programs at K-12 and higher education levels.
• Expand high-skilled immigration by increasing the allowable number of advanced degree STEM graduates for employment-based visa categories, particularly among lawful permanent residents.
",Workforce Development,Immigration,Workforce Dev,Talent Immigration
4339,"Expedite the implementation of the National AI Research Resource (NAIRR) through the federal government's AI Action Plan, with a priority on launching the competitive award process for the NAIRR Operating Entity (OE). The recommendation emphasizes that implementation should leverage university research centers' leadership capabilities to address the urgent need to sustain and advance the nation's AI dominance in the face of global competition.
",Science Partnerships,Artificial Intelligence,Research Funding,NAIRR Legislation
4340,"Develop AI governance frameworks that ensure AI systems are secure, transparent, and beneficial for rural communities.
• Expand federal funding for privacy-preserving, trustworthy, auditable, and explainable AI research.
• Enhance AI literacy and training initiatives for rural communities.
• Develop fairness, security, and risk mitigation guidelines for AI models.
• Establish federal guidelines addressing unique data privacy and security challenges in rural areas.
• Increase funding for AI infrastructure in rural areas.
• Assess the impact of AI on rural communities.
• Direct NIST and OSTP to develop AI safety, security, and transparency standards.
• Create AI compliance and reporting standards for developers.
• Expand workforce development initiatives in rural areas to protect rural jobs.
",Risk Management,Rural development,Regulation,Policy Awareness
4341,"Create a structured, data-driven framework that continuously measures AI system effectiveness at every stage of development. This framework should:
• Establish clear performance metrics beyond accuracy, including robustness, adaptability, and generalization.
• Track data quality, annotation consistency, and model effectiveness continuously rather than at single checkpoints.
• Integrate test and evaluation throughout the AI pipeline instead of just at deployment.
• Enable agencies to make evidence-based decisions about where to allocate resources in the AI development process.
",Content Creation,Performance Assurance,Content & Models,Model Evaluation
4342,"Support the development of AI technologies to enable personalized, adaptable instruction for adults and K-12 students. Two key recommendations include:
• Supporting research and development of multimodal AI-powered learning programs that enable multiple types of inputs beyond text, and
• Developing AI-assisted teacher professional development tools that simulate different types of students to help teachers improve their instructional approaches.
",Workforce Development,Education (2),Workforce Dev,Learning Tools
4343,"Support cross-disciplinary efforts that bring critical scientific problems from different domains to the AI community. This includes growing the ecosystem within respective scientific communities and building toolkits that allow solutions to be transferred across domains.
",Government operations,Health,Infrastructure,Scientific Apps
4344,"The federal government should support regional university alliances like the Mountain-Plains University Innovation Alliance to contribute to AI research and applications on a regional basis, leveraging the combined resources of multiple institutions to achieve the scale necessary for effective AI initiatives.
",Science Partnerships,Education (3),Research Funding,Rural Education
4345,"Fund a National Research Platform (NRP) for AI Research & Education to connect every US-accredited institution of higher learning to a world-class and secure research infrastructure for AI education and research. The platform would require a $25M investment over 5 years, followed by steady state operations costs of $8M/year to serve 1,000 colleges and 1 million students annually. The infrastructure would:
• Provide centralized management of computing resources across distributed locations,
• Implement scalable technical support using AI and social networking,
• Strategically deploy $10M in hardware at non-R1 institutions and EPSCoR states,
• Transition to a sustainable membership-fee model after 5 years.
",Science Partnerships,Science,Research Funding,Science Grants
4346,"OSTP should address AI in healthcare within its AI Action Plan, working with The Joint Commission to share their draft Responsible Use of Health AI (RUAI) guidance and their soon-to-be-announced RUAI certification.
",Science Partnerships,Science Policy,Research Funding,OSTP Roadmap
4347,"Enhance access to AI tools and education in rural areas to ensure equitable opportunity and preparedness for the AI economy.
• Enhance access to AI tools in higher education.
• Expand federal funding for AI-driven student success tools.
• Expand AI education programs in rural areas.
• Expand Pell Grant eligibility for AI-related certificate programs.
• Increase NSF funding for AI education grants targeting rural states.
• Enhance K-12 AI and computing education nationwide.
• Support national organizations to establish AI curriculum guidance.
• Allocate federal funding for rural university-school partnerships.
• Develop AI apprenticeships in rural sectors.
• Provide tax incentives for businesses creating AI training in rural areas.
• Establish AI scholarships and fellowships targeting rural students.
",Science Partnerships,Education (3),Research Funding,Rural Education
4348,"Create a blockchain-based thought hashing system for verifying and tracking intellectual contributions. This system would:
• Assign unique cryptographic hashes to each thought or idea.
• Store intellectual contributions immutably in a decentralized ledger.
• Track ownership of ideas to ensure fair attribution.
• Use a Merkle tree structure for recursive references to prior validated thoughts.
",Semiconductor manufacturing,Digital Identity,Manufacturing,Digital Standards
4349,"• Develop policies that promote expanded access to AI for learning.
• Encourage Congress to invest in infrastructure and programs supporting AI access for all students.
• Encourage industry practices that prioritize greater accessibility and access.
",Workforce Development,Education (2),Workforce Dev,Learning Tools
4350,"Create a National AI Upskilling Campaign that leverages federal funding, private-sector expertise, and local institutions to establish comprehensive AI certification programs, including advanced skill tracks for technical roles and foundational tracks for broader participation.
",Workforce Development,Workforce Development (2),Workforce Dev,Career Programs
4351,"• Continue soliciting feedback from industry through open-ended RFIs.
• Enhance knowledge sharing through initiatives like the SHARE IT Act and OPEN Government Data Act.
• Form open forums, working groups, workshops, and events focused on AI leadership, security, and standards where government and industry can collaborate continuously.
",Science Partnerships,Strategic Partnerships,Research Funding,Public-Private
4352,"Govern AI with the ""human-on-the-loop-of-AI"" as the center of action, where convergent technologies augment humans rather than replace them. Implement five specific impact measures:
• AI SWaP to Performance ratio (total product size decreases while performance increases),
• AI Cyber Readiness Level (total fragility decreases while resilience increases),
• Public AI Economic Scalability (total cost of ownership decreases while adoption increases),
• Public AI ROI Scaling (total cost of new products decreases while returns increase),
• AI Total Impact Metric (a composite of items 1-4).
",Content Creation,Performance Assurance,Content & Models,Model Evaluation
4353,"Establish structured public-private partnerships to advance AI research, set best practices, foster innovation, and address economic, national security, and consumer protection priorities. These partnerships should facilitate ongoing engagement between government, industry, academia, and civil society to develop practical, risk-based approaches that support AI safety, transparency, and global competitiveness.
",Science Partnerships,Strategic Partnerships,Research Funding,Public-Private
4354,"Significantly invest in AI research while developing collaborative relationships with other nations where these technologies are being developed.
",Science Partnerships,Strategic Partnerships,Research Funding,Public-Private
4355,"• Fund professional development programs to help educators understand AI technologies, their potential, and limitations.
• Incorporate AI literacy into educator preparation programs.
• Address risks of deepfake and companion technologies by promoting safeguards, transparency, and digital literacy initiatives.
• Support curricular changes to incorporate AI literacy across all subject areas and educational levels.
",Workforce Development,Education (2),Workforce Dev,Learning Tools
4356,"• Build, procure, or certify foundational AI models that can be used by industry.
• Establish an ""AI Use Case Catalog"" at the U.S. government level to track AI development across government agencies.
• Develop standard feedback loop processes to support contractor feedback on deployed model performance and operational update processes.
• Facilitate reuse of both models and data across agencies.
",Content Creation,Performance Assurance,Content & Models,Model Evaluation
4357,"Build a comprehensive AI talent pipeline through:
• Equip all K-16 public schools with AI tools by 2030,
• Scale platforms to provide personalized AI tutoring for all students nationwide,
• Redesign federal workforce development programs to include AI training,
• Create AI-powered job matching platforms through public-private partnerships,
• Establish a National Reserve Digital Corps of skilled technologists, and
• Create a U.S. Digital Service Academy for public service tech leaders.
",Workforce Development,Workforce Development (2),Workforce Dev,Career Programs
4358,"The US government should actively promote and encourage the export of American open source AI models globally. This would ensure the US sets the global AI standard and builds a flywheel of innovation that propels American AI dominance, rather than allowing countries like China to establish their standards.
",Content Creation,Software Development,Content & Models,Open Source
4359,"Fully fund and reauthorize career and technical education programs like the Strengthening Career and Technical Education for the 21st Century Act (Perkins V), the NSF Advanced Technical Education program, and the Strengthening Community Colleges Training Grants program to enhance AI workforce development through community colleges.
",Science Partnerships,Education (3),Research Funding,Rural Education
4360,"Create comprehensive programs to develop a skilled AI workforce. This includes providing tools and training that empower data teams to access and analyze data quickly, reducing time spent on complex data engineering tasks to allow focus on model innovation and deployment.
",Workforce Development,Workforce Development (2),Workforce Dev,Career Programs
4361,"Develop and fund national AI training initiatives specifically designed to enhance digital skills among small business owners.
",Workforce Development,Workforce Development (2),Workforce Dev,Career Programs
4362,"Improve transportation by leveraging AI for comprehensive analysis of road conditions and safety measures, evaluating street imagery to assess road quality, detect structural issues, and identify hazards.
",Government operations,Health,Infrastructure,Scientific Apps
4363,"Funding agencies should create and/or fund the creation of Gen AI educational resources and allocate resources to support continuing educational efforts. This includes:
• Supporting self-directed learning resources,
• Developing a centralized repository of educational resources on Gen AI in biological and biomedical sciences,
• Allocating resources to reduce inequities through Gen AI education.
",Science Partnerships,Education (3),Research Funding,Rural Education
4364,"Provide research support for entities whose main goal is human flourishing. Fund university collaborations with charities, medical centers, legal experts, and local governments to create, implement, and maintain AI technology customized for their specific needs.
",Science Partnerships,Science,Research Funding,Science Grants
4365,"Use robust metrics to refine social and economic policy for AI development and deployment that supports flourishing. This includes:
• Integrate flourishing metrics into the incentive structure of AI development by increasing the bargaining power of institutions and communities.
• Pass The Data Freedom Act to create regulated entities enabling organizations to collectively negotiate with AI companies.
• Create democratic governance structures for AI deployment that incorporate community input and enable regional customization.
",Risk Management,Rural development,Regulation,Policy Awareness
4366,"Regularly conduct stakeholder engagement to define key opportunities and challenges for AI in agriculture, recognizing regional differences across the United States.
",Science Partnerships,Education (3),Research Funding,Rural Education
4367,"Support and promote open access to private initiatives like the Stargate Project, while also developing public-private partnerships and making direct federal investments to fill the compute gap. Ensure that enterprises of all sizes, including small and medium-sized businesses, are encouraged to participate as partners and recipients of federal funding to prevent the hyperconcentration seen in the private sector.
",Semiconductor manufacturing,Innovation,Manufacturing,Research Hubs
4368,"Encourage AI applications that promote linguistic diversity and cultural preservation, ensuring AI systems reflect the values of diverse global communities while maintaining US technological leadership in AI-driven communication tools.
",Workforce Development,Education (2),Workforce Dev,Learning Tools
4369,"Develop and implement digital literacy programs to help individuals understand the appropriate use and limitations of AI tools. Create public education campaigns on the appropriate use of and risks associated with AI information, including the potential for misinformation from tools that appear reliable but are not.
",Workforce Development,Education (2),Workforce Dev,Learning Tools
4370,"Ensure all children can benefit from AI through:
• Providing periodically updated guidance on best AI uses for schools, teachers, students, and caregivers,
• Developing professional development guidelines and funding for educator training,
• Administering funds for comprehensive digital literacy efforts for both students and caregivers,
• Creating a clearinghouse for AI developments to inform stakeholders about both positive and negative developments,
• Supporting access to technology by ensuring affordable broadband and devices capable of meeting student needs for AI education use.
",Workforce Development,Education (2),Workforce Dev,Learning Tools
4371,"Prioritize broad-based participation in AI-driven wealth creation over mere redistribution by promoting the use of tokens and digital assets related to AI agents and the future AI-driven economy. This approach aims to give citizens direct ownership stakes in AI systems and their economic benefits.
",Workforce Development,Workforce Automation,Workforce Dev,Labor Transition
4372,"Implement expanded agile procurement mechanisms to ensure AI solutions transition from proof-of-concept to full deployment within months rather than years. This includes expanding Other Transaction Authorities (OTAs), Small Business Innovation Research (SBIR) programs, and Replicator initiatives.
",Government operations,Procurement,Infrastructure,Federal Contracts
